Fuente;Reporte UNCTAD;Título reporte;Archivo bulk;Nombre archivo;Tamaño bytes;Estado;Registros extraídos;Valores extraídos;URL bulk
UNCTADstat - UNCTAD;US.TransportCosts;Trade-and-Transport Dataset, annual, 2016 onward (analytical);US_TransportCosts_20212021;From 2021 to 2021;5819253692;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TransportCosts/US_TransportCosts_20212021
UNCTADstat - UNCTAD;US.BiotradeMerch;Biotrade: Bilateral trade by product - Annual (analytical);US_BiotradeMerch_20102011;From 2010 to 2011;2156853807;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerch/US_BiotradeMerch_20102011
UNCTADstat - UNCTAD;US.BiotradeMerch;Biotrade: Bilateral trade by product - Annual (analytical);US_BiotradeMerch_20122013;From 2012 to 2013;2081556293;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerch/US_BiotradeMerch_20122013
UNCTADstat - UNCTAD;US.BiotradeMerch;Biotrade: Bilateral trade by product - Annual (analytical);US_BiotradeMerch_20142015;From 2014 to 2015;2085525371;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerch/US_BiotradeMerch_20142015
UNCTADstat - UNCTAD;US.BiotradeMerch;Biotrade: Bilateral trade by product - Annual (analytical);US_BiotradeMerch_20162017;From 2016 to 2017;2083255752;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerch/US_BiotradeMerch_20162017
UNCTADstat - UNCTAD;US.BiotradeMerch;Biotrade: Bilateral trade by product - Annual (analytical);US_BiotradeMerch_20182019;From 2018 to 2019;2046492014;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerch/US_BiotradeMerch_20182019
UNCTADstat - UNCTAD;US.BiotradeMerch;Biotrade: Bilateral trade by product - Annual (analytical);US_BiotradeMerch_20202020;From 2020 to 2020;999390394;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerch/US_BiotradeMerch_20202020
UNCTADstat - UNCTAD;US.BiotradeMerch;Biotrade: Bilateral trade by product - Annual (analytical);US_BiotradeMerch_20212021;From 2021 to 2021;1026527320;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerch/US_BiotradeMerch_20212021
UNCTADstat - UNCTAD;US.BiotradeMerch;Biotrade: Bilateral trade by product - Annual (analytical);US_BiotradeMerch_20222022;From 2022 to 2022;1040823870;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerch/US_BiotradeMerch_20222022
UNCTADstat - UNCTAD;US.BiotradeMerch;Biotrade: Bilateral trade by product - Annual (analytical);US_BiotradeMerch_20232023;From 2023 to 2023;1038282985;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerch/US_BiotradeMerch_20232023
UNCTADstat - UNCTAD;US.BiotradeMerch;Biotrade: Bilateral trade by product - Annual (analytical);US_BiotradeMerch_20242024;From 2024 to 2024;993411533;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerch/US_BiotradeMerch_20242024
UNCTADstat - UNCTAD;US.BiotradeMerchShare;Biotrade: Bilateral trade as percentage of total trade - Annual (analytical);US_BiotradeMerchShare;From 2010 to 2024;12702448;Procesado;6810;6710;https://unctadstat-api.unctad.org/bulkdownload/US.BiotradeMerchShare/US_BiotradeMerchShare
