date,year,month,month_name,index_value,monthly_variation_pct,unit,frequency,source,source_url,fetched_at
2014-11-01,2014,11,Noviembre,797.3,4.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2014-12-01,2014,12,Diciembre,839.5,5.3,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-01-01,2015,1,Enero,904.8,7.8,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-02-01,2015,2,Febrero,949.1,4.9,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-03-01,2015,3,Marzo,1000.2,5.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-04-01,2015,4,Abril,1063.8,6.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-05-01,2015,5,Mayo,1148.8,8.0,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-06-01,2015,6,Junio,1261.6,9.8,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-07-01,2015,7,Julio,1397.5,10.8,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-08-01,2015,8,Agosto,1570.8,12.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2015-09-01,2015,9,Septiembre,1752.1,11.5,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
