Fuente;País;Frecuencia;Código indicador;Indicador;Tema;Base de datos;Dimensiones disponibles;Número de series;Número de registros;Primer periodo;Último periodo;Último periodo con dato;Último valor disponible;Última actualización OIT;Archivo datos comprimidos
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_INS_MTS_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, sector público/privado y estado civil;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, sector público/privado, estado civil;99;984;2005;2017;2017;39.63;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_INS_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo y sector público/privado;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, sector público/privado;9;90;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_MTS_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo y estado civil;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, estado civil;33;330;2005;2017;2017;39.63;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo;3;30;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_OCU_EDU_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, ocupación y educación;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, ocupación, educación;695;5605;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_OCU_EST_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, ocupación y tamaño del establecimiento;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, ocupación, tamaño del establecimiento;344;2550;2005;2017;2017;39.63;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_OCU_INS_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, ocupación y sector público/privado;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, ocupación, sector público/privado;135;1340;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_OCU_MTS_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, ocupación y estado civil;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, ocupación, estado civil;489;4462;2005;2017;2017;39.63;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_OCU_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo y ocupación;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, ocupación;48;489;2005;2020;2020;39.1;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;ILR_CBCT_NOC_RT;Tasa de cobertura de la negociación colectiva (%);Relaciones laborales;Datos de Relaciones Laborales (IRdata);Tasa de cobertura de la negociación colectiva;1;4;2009;2016;2016;23.4;03/05/2022 15:55:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;ILR_TUMT_NOC_RT;Tasa de sindicalización (%);Relaciones laborales;Datos de Relaciones Laborales (IRdata);Tasa de sindicalización;1;2;2011;2012;2012;0.2;21/06/2024 10:56:21;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;INJ_FATL_ECO_NB;Casos de lesiones profesionales fatales según actividad económica;Lesiones profesionales;Estadísticas de Seguridad y Salud en el Trabajo (OSH);actividad económica;1;27;1976;2002;2002;31.0;01/09/2026 07:11:04;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
